epoch,macro_f1,NORM_acc,STTC_acc,MI_acc,CD_acc,HYP_acc
1,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
2,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
3,0.06999999999999999,1.0,0.0,0.0,0.0,0.0
4,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
5,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
6,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
7,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
8,0.06471277842907386,0.0,0.0,0.0,1.0,0.0
9,0.069236700077101,0.0,0.0,1.0,0.0,0.0
10,0.069236700077101,0.0,0.0,1.0,0.0,0.0
11,0.069236700077101,0.0,0.0,1.0,0.0,0.0
12,0.35356758921196374,0.5648351648351648,0.01038961038961039,0.5612472160356348,0.6256038647342995,0.22624434389140272
13,0.4335935998808608,0.8219780219780219,0.15324675324675324,0.3429844097995546,0.5555555555555556,0.40497737556561086
14,0.4628252644222228,0.7824175824175824,0.21558441558441557,0.36080178173719374,0.5652173913043478,0.4592760180995475
15,0.4681537668022814,0.7538461538461538,0.2077922077922078,0.44320712694877507,0.5507246376811594,0.4411764705882353
16,0.467336842665965,0.756043956043956,0.21558441558441557,0.45879732739420936,0.5144927536231884,0.43665158371040724
17,0.4663094858047542,0.7362637362637363,0.22077922077922077,0.44766146993318484,0.5048309178743962,0.4638009049773756
18,0.45868745289897583,0.7626373626373626,0.2025974025974026,0.45434298440979953,0.5676328502415459,0.3755656108597285
19,0.4584766036471641,0.7142857142857143,0.2727272727272727,0.40757238307349664,0.5362318840579711,0.3936651583710407
20,0.4624652292192722,0.6945054945054945,0.2545454545454545,0.44097995545657015,0.5748792270531401,0.38687782805429866
21,0.462659776680976,0.6989010989010989,0.23896103896103896,0.46547884187082406,0.5821256038647343,0.3755656108597285
22,0.46046637136833485,0.7032967032967034,0.2649350649350649,0.4298440979955457,0.5314009661835749,0.40497737556561086
23,0.4602743749069781,0.7164835164835165,0.24415584415584415,0.40311804008908686,0.5700483091787439,0.416289592760181
24,0.4643259141832815,0.6901098901098901,0.2779220779220779,0.44988864142538976,0.5144927536231884,0.41402714932126694
25,0.45791651749794704,0.6659340659340659,0.3064935064935065,0.43875278396436523,0.5048309178743962,0.3891402714932127
26,0.4533286584049664,0.7318681318681318,0.2779220779220779,0.38084632516703787,0.5,0.41402714932126694
27,0.46180487223774314,0.7120879120879121,0.2623376623376623,0.43207126948775054,0.5096618357487923,0.4230769230769231
28,0.46186641628492764,0.701098901098901,0.3142857142857143,0.3986636971046771,0.5772946859903382,0.3552036199095023
29,0.450011284745779,0.6835164835164835,0.2779220779220779,0.35634743875278396,0.5700483091787439,0.40271493212669685
30,0.4570452092971734,0.6945054945054945,0.34545454545454546,0.31625835189309576,0.538647342995169,0.4253393665158371
31,0.45542525744538775,0.6791208791208792,0.3090909090909091,0.40089086859688194,0.5,0.4072398190045249
32,0.45763363479265495,0.6813186813186813,0.3064935064935065,0.39643652561247217,0.5241545893719807,0.40497737556561086
33,0.4554279734730134,0.6725274725274726,0.3194805194805195,0.37861915367483295,0.5265700483091788,0.4004524886877828
34,0.4642884229479998,0.6835164835164835,0.3038961038961039,0.40979955456570155,0.5241545893719807,0.42081447963800905
35,0.471015831955241,0.6945054945054945,0.32987012987012987,0.40089086859688194,0.5193236714975845,0.4298642533936652
36,0.4674661502430216,0.6967032967032967,0.36883116883116884,0.39643652561247217,0.5120772946859904,0.38235294117647056
37,0.46591135718352,0.6571428571428571,0.34805194805194806,0.40979955456570155,0.5265700483091788,0.39592760180995473
38,0.4665973947570928,0.6527472527472528,0.3246753246753247,0.43429844097995546,0.538647342995169,0.39592760180995473
39,0.46034198222340733,0.6747252747252748,0.3220779220779221,0.41648106904231624,0.5314009661835749,0.3755656108597285
