epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1
0,0.24889560043811798,3.9999998989515007e-05,1.6183193922042847,0.1930069923400879,1.6099385023117065,0.06471277842907386
1,0.32073935866355896,7.999999797903001e-05,1.545197606086731,0.1930069923400879,1.6102348566055298,0.06471277842907386
2,0.3794466257095337,0.00011999999696854502,1.4766348600387573,0.21212121844291687,1.6106795072555542,0.06999999999999999
3,0.4228086471557617,0.00015999999595806003,1.4139862060546875,0.1930069923400879,1.6158710718154907,0.06471277842907386
4,0.448035329580307,0.00019999999494757503,1.3789591789245605,0.1930069923400879,1.6285501718521118,0.06471277842907386
5,0.46128806471824646,0.00019999999494757503,1.3499341011047363,0.1930069923400879,1.638099193572998,0.06471277842907386
6,0.48070216178894043,0.00019994535250589252,1.3224849700927734,0.1930069923400879,1.631639003753662,0.06471277842907386
7,0.4940711557865143,0.00019978146883659065,1.2937941551208496,0.1930069923400879,1.62001371383667,0.06471277842907386
8,0.5055801272392273,0.0001995085331145674,1.2743827104568481,0.20932400226593018,1.6231471300125122,0.069236700077101
9,0.5238316655158997,0.00019912685093004256,1.2378307580947876,0.20932400226593018,1.6159223318099976,0.069236700077101
10,0.5427807569503784,0.0001986368151847273,1.203195333480835,0.20932400226593018,1.6133960485458374,0.069236700077101
11,0.5601022839546204,0.00019803897885140032,1.1775221824645996,0.4065268039703369,1.5194916725158691,0.35356758921196374
12,0.5803301334381104,0.00019733399676624686,1.1458178758621216,0.4643356502056122,1.3748440742492676,0.4335935998808608
13,0.6010230183601379,0.0001965226256288588,1.1018497943878174,0.4839160740375519,1.328926682472229,0.4628252644222228
14,0.6236921548843384,0.00019560578220989555,1.0428251028060913,0.4871794879436493,1.3307112455368042,0.4681537668022814
15,0.6434550285339355,0.00019458442693576217,1.0127356052398682,0.4843822717666626,1.3488953113555908,0.467336842665965
16,0.674145519733429,0.00019345972395967692,0.9736626744270325,0.4825174808502197,1.37847900390625,0.4663094858047542
17,0.6821669340133667,0.00019223286653868854,0.9334220290184021,0.48018649220466614,1.4069877862930298,0.45868745289897583
18,0.7093698978424072,0.00019090520800091326,0.8995053768157959,0.4703962802886963,1.4236282110214233,0.4584766036471641
19,0.7264589667320251,0.00018947820353787392,0.8544759750366211,0.4759906828403473,1.4468187093734741,0.4624652292192722
20,0.7585445046424866,0.00018795339565258473,0.7966217994689941,0.4783216714859009,1.4791961908340454,0.462659776680976
21,0.7569169998168945,0.0001863324869191274,0.7767364382743835,0.4727272689342499,1.5003035068511963,0.46046637136833485
22,0.7784236073493958,0.00018461722356732935,0.7484101057052612,0.4759906828403473,1.5399295091629028,0.4602743749069781
23,0.792025089263916,0.00018280948279425502,0.7213989496231079,0.47505828738212585,1.5482757091522217,0.4643259141832815
24,0.8053941130638123,0.00018091124366037548,0.6919293999671936,0.4657342731952667,1.5700551271438599,0.45791651749794704
25,0.8231806755065918,0.00017892458708956838,0.6606974005699158,0.46666666865348816,1.6172311305999756,0.4533286584049664
26,0.8321320414543152,0.00017685169586911798,0.6347785592079163,0.47412586212158203,1.631211519241333,0.46180487223774314
27,0.8466635942459106,0.00017469481099396944,0.6063922643661499,0.4731934666633606,1.657842755317688,0.46186641628492764
28,0.8557312488555908,0.000172456304426305,0.593876838684082,0.4624708592891693,1.690549373626709,0.450011284745779
29,0.864798903465271,0.000170138620887883,0.5740167498588562,0.4671328663825989,1.7143765687942505,0.4570452092971734
30,0.8653801679611206,0.0001677442924119532,0.5674771070480347,0.46386945247650146,1.7273271083831787,0.45542525744538775
31,0.8789816498756409,0.00016527595289517194,0.5408061146736145,0.4671328663825989,1.7272969484329224,0.45763363479265495
32,0.8832829594612122,0.00016273627988994122,0.5319198966026306,0.46340325474739075,1.740783452987671,0.4554279734730134
33,0.8982794880867004,0.00016012806736398488,0.5063353180885315,0.4731934666633606,1.7594770193099976,0.4642884229479998
34,0.9015344977378845,0.00015745415294077247,0.501307487487793,0.4792540669441223,1.7669676542282104,0.471015831955241
35,0.9074633717536926,0.0001547174615552649,0.48414698243141174,0.47459205985069275,1.7869280576705933,0.4674661502430216
36,0.913275957107544,0.0001519210054539144,0.4690319895744324,0.470862478017807,1.7869924306869507,0.46591135718352
37,0.9149035215377808,0.00014906782598700374,0.4646168053150177,0.4731934666633606,1.7986516952514648,0.4665973947570928
38,0.9193210601806641,0.000146161051816307,0.4577910602092743,0.4680652618408203,1.8247318267822266,0.46034198222340733
