epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.2549501172455821,0.5301852609432529,1.050398764221195,0.6214636564254761,0.5487692354394055
2,1.0224985451013047,0.6322248845771726,0.9837716403117881,0.6677577495574951,0.5774505245980062
3,0.958899842334946,0.6521535854128923,1.0355262855572598,0.7077390551567078,0.6003956026454148
4,0.9146689459830427,0.6726667056279586,0.8850775562716278,0.6658872961997986,0.6133637619890877
5,0.8979245871331591,0.6773420606627316,0.893360330591922,0.6663548946380615,0.6133714684340402
6,0.8806750438547896,0.6823680673251125,0.8784958920747509,0.6642506718635559,0.6190785448367252
7,0.854035500916208,0.6905499386359651,0.8299718561756686,0.6988543272018433,0.640182294058304
8,0.8258426601161781,0.6995499970779031,0.8481376683681346,0.6820201277732849,0.634107909907773
9,0.8246157992646219,0.700601951960727,0.8240495063948079,0.6834229826927185,0.6245344173208063
10,0.8094883087181445,0.708725381333645,0.8170192280132301,0.6990881562232971,0.6430398049056478
11,0.7967641475526561,0.7117059201683128,0.8386502363204064,0.7301847338676453,0.6572408716210681
12,0.7757957804788943,0.7210566302378587,0.8073738105725763,0.7098433375358582,0.6478996199458429
13,0.7655095603532777,0.7185436269066682,0.821042132037584,0.7306523323059082,0.6606756108680221
14,0.7637298435772206,0.7222839109344866,0.7977814203058974,0.7334580421447754,0.669587350723612
15,0.7607358182920815,0.7254397755829584,0.7927758410792499,0.7149871587753296,0.6507390536709208
16,0.7497490187152767,0.729998246741862,0.7825736728594185,0.7320551872253418,0.6724045266737673
17,0.7287674602080838,0.7345567179007656,0.7988176250223638,0.7061024308204651,0.6543913680416068
18,0.717456939678706,0.7359008824732628,0.7750845513445266,0.7367313504219055,0.6741873678037631
19,0.7059311764400223,0.7428554730874876,0.7971459346478694,0.7287818789482117,0.6586663011570202
20,0.6970719847560145,0.7433230085909649,0.7757929605051879,0.7224690318107605,0.6660360720255143
21,0.6787032223926589,0.7485827830050844,0.7955769436198304,0.7467851042747498,0.676528530198673
22,0.6676277538180093,0.7546607445502893,0.7774135359040983,0.7336918115615845,0.6683422791848649
23,0.6654517377922838,0.7529074864122495,0.7941343230512172,0.7180266380310059,0.6542018448323322
24,0.6475012126347092,0.7606802641575595,0.781530779601537,0.7505260705947876,0.6807180623482838
25,0.6402243201572817,0.7612062415989714,0.8116568877425516,0.749123215675354,0.6795523091031204
26,0.6288559545428266,0.7691543451580855,0.7875594499653568,0.7355623245239258,0.6717239871880739
27,0.6192631613615345,0.766991993454503,0.8283797245536253,0.7470189332962036,0.6795499698479569
28,0.6031924320558921,0.778914148793174,0.7926507518758054,0.7449146509170532,0.6769449663233593
29,0.5844257158801429,0.778563497165566,0.7887611624680029,0.7542670369148254,0.6868209688348805
30,0.5659808656256827,0.7852843200280522,0.8008563975627828,0.7449146509170532,0.6784875018108987
31,0.5576350403468798,0.7867453684764186,0.8322426211981676,0.752630352973938,0.6794438009086246
32,0.5471632732036523,0.7894336976214131,0.8127506164459807,0.7393032312393188,0.6776001483020437
33,0.5354804147269361,0.7956869849804219,0.8347974157456012,0.7437456250190735,0.6799407813384974
34,0.5153903099002596,0.803284436911928,0.9206516838307857,0.7540332078933716,0.6760051220730079
35,0.5126006445930128,0.8025246917187774,0.8526813740871876,0.741875171661377,0.6728349880367909
36,0.503734839832711,0.8065571854362691,0.8274552019394417,0.7470189332962036,0.6787015803385155
37,0.4853359099409385,0.8104143533399567,0.8577315417132089,0.7540332078933716,0.6871675593891833
38,0.4848246058926703,0.8078429080708316,0.8742194955583652,0.7430441975593567,0.6735740073391854
39,0.46370197241014116,0.8176611536438548,0.8576684623002059,0.7390694618225098,0.6758685990263997
40,0.46779581988884034,0.8156741277540763,0.8818880162396274,0.7367313504219055,0.6719323732585724
41,0.44806759626093046,0.8260767927064462,0.8640868256017932,0.7446808218955994,0.6828832290863971
42,0.4438364143667254,0.8288235637893753,0.9062282534606663,0.752630352973938,0.6843918295427974
43,0.4344529527588441,0.8300508444860032,0.9023797274026075,0.7463175058364868,0.6776394437424795
44,0.43415953632853227,0.8297001928583951,0.8750159366403418,0.7484217882156372,0.6802484534630336
45,0.4333480621518415,0.833031383320671,0.9018774462381701,0.7523965239524841,0.6829876552383329
46,0.4230243503598034,0.8350184092104495,0.9004203561368544,0.7528641819953918,0.6823290243714604
47,0.4154683357752029,0.8331482671965402,0.9655698877588343,0.7477203607559204,0.6738239256380821
48,0.42167135932556854,0.8358950382794693,0.9079828702152012,0.7542670369148254,0.687689907894925
49,0.41593298717813343,0.8387002513003331,0.8986132700699134,0.7477203607559204,0.6814999876405162
50,0.40953763444125774,0.8371223189760972,0.9150940603203157,0.7554360628128052,0.6861281154784044
